internalTaxonId,conservationNeededCode,conservationNeededName
133488,2.1,Site/area management
133488,3.4.1,Captive breeding/artificial propagation
133490,3.4.2,Genome resource bank
133490,2.3,Habitat & natural process restoration
133490,1.1,Site/area protection
133490,3.2,Species recovery
133490,3.4.1,Captive breeding/artificial propagation
133490,2.1,Site/area management
133491,3.4.1,Captive breeding/artificial propagation
133491,3.2,Species recovery
133491,2.1,Site/area management
133491,3.4.2,Genome resource bank
133491,1.1,Site/area protection
133491,2.3,Habitat & natural process restoration
133492,2.1,Site/area management
133492,3.4.2,Genome resource bank
133492,3.4.1,Captive breeding/artificial propagation
133492,3.2,Species recovery
133492,1.1,Site/area protection
133492,2.3,Habitat & natural process restoration
133493,3.4.2,Genome resource bank
133493,2.1,Site/area management
133493,3.4.1,Captive breeding/artificial propagation
133493,3.2,Species recovery
133493,1.1,Site/area protection
133493,2.3,Habitat & natural process restoration
133494,3.2,Species recovery
133494,2.1,Site/area management
133494,3.4.1,Captive breeding/artificial propagation
133494,3.4.2,Genome resource bank
133494,2.3,Habitat & natural process restoration
133494,1.1,Site/area protection
133496,3.2,Species recovery
133496,3.4.1,Captive breeding/artificial propagation
133496,2.1,Site/area management
133496,3.4.2,Genome resource bank
133496,1.1,Site/area protection
133496,2.3,Habitat & natural process restoration
133498,3.2,Species recovery
133498,1.1,Site/area protection
133498,2.3,Habitat & natural process restoration
133498,3.4.2,Genome resource bank
133498,2.1,Site/area management
133498,3.4.1,Captive breeding/artificial propagation
133500,3.4.2,Genome resource bank
133500,2.3,Habitat & natural process restoration
133500,1.1,Site/area protection
133500,3.2,Species recovery
133500,3.4.1,Captive breeding/artificial propagation
133500,2.1,Site/area management
133503,2.3,Habitat & natural process restoration
133503,3.4.2,Genome resource bank
133503,2.1,Site/area management
133503,3.4.1,Captive breeding/artificial propagation
133503,1.1,Site/area protection
133503,3.2,Species recovery
133506,2.3,Habitat & natural process restoration
133506,3.4.2,Genome resource bank
133506,1.1,Site/area protection
133506,3.2,Species recovery
133506,2.1,Site/area management
133506,3.4.1,Captive breeding/artificial propagation
133508,3.4.1,Captive breeding/artificial propagation
133508,3.2,Species recovery
133508,1.1,Site/area protection
133508,2.3,Habitat & natural process restoration
133508,3.4.2,Genome resource bank
133508,2.1,Site/area management
133509,2.3,Habitat & natural process restoration
133509,3.4.2,Genome resource bank
133509,1.1,Site/area protection
133509,3.2,Species recovery
133509,2.1,Site/area management
133509,3.4.1,Captive breeding/artificial propagation
133510,3.4.2,Genome resource bank
133510,2.3,Habitat & natural process restoration
133510,3.4.1,Captive breeding/artificial propagation
133510,2.1,Site/area management
133510,3.2,Species recovery
133510,1.1,Site/area protection
133513,3.4.2,Genome resource bank
133513,2.1,Site/area management
133513,2.3,Habitat & natural process restoration
133513,1.1,Site/area protection
133513,3.2,Species recovery
133513,3.4.1,Captive breeding/artificial propagation
133516,2.3,Habitat & natural process restoration
133516,3.4.2,Genome resource bank
133516,1.1,Site/area protection
133516,3.2,Species recovery
133516,2.1,Site/area management
133516,3.4.1,Captive breeding/artificial propagation
133523,1.1,Site/area protection
133523,2.3,Habitat & natural process restoration
133523,2.1,Site/area management
133523,3.4.1,Captive breeding/artificial propagation
133523,3.4.2,Genome resource bank
133523,3.2,Species recovery
133525,3.4.1,Captive breeding/artificial propagation
133525,3.2,Species recovery
133525,1.1,Site/area protection
133525,3.4.2,Genome resource bank
133525,2.3,Habitat & natural process restoration
133525,2.1,Site/area management
133526,2.1,Site/area management
133526,3.4.2,Genome resource bank
133526,2.3,Habitat & natural process restoration
133526,1.1,Site/area protection
133526,3.4.1,Captive breeding/artificial propagation
133526,3.2,Species recovery
133528,3.2,Species recovery
133528,3.4.1,Captive breeding/artificial propagation
133528,2.1,Site/area management
133528,3.4.2,Genome resource bank
133528,2.3,Habitat & natural process restoration
133528,1.1,Site/area protection
133529,3.4.1,Captive breeding/artificial propagation
133529,2.1,Site/area management
133529,3.4.2,Genome resource bank
133529,2.3,Habitat & natural process restoration
133529,3.2,Species recovery
133529,1.1,Site/area protection
133530,1.1,Site/area protection
133530,2.3,Habitat & natural process restoration
133530,3.4.2,Genome resource bank
133530,2.1,Site/area management
133530,3.4.1,Captive breeding/artificial propagation
133530,3.2,Species recovery
133531,3.4.1,Captive breeding/artificial propagation
133531,2.1,Site/area management
133531,3.4.2,Genome resource bank
133531,2.3,Habitat & natural process restoration
133531,1.1,Site/area protection
133531,3.2,Species recovery
133532,1.1,Site/area protection
133532,3.2,Species recovery
133532,3.4.1,Captive breeding/artificial propagation
133532,2.1,Site/area management
133532,3.4.2,Genome resource bank
133532,2.3,Habitat & natural process restoration
133542,3.4.1,Captive breeding/artificial propagation
133542,2.1,Site/area management
133542,3.4.2,Genome resource bank
133542,2.3,Habitat & natural process restoration
133542,1.1,Site/area protection
133542,3.2,Species recovery
133546,2.3,Habitat & natural process restoration
133546,1.1,Site/area protection
133546,3.2,Species recovery
133546,3.4.1,Captive breeding/artificial propagation
133546,3.4.2,Genome resource bank
